"order_id","product_id","quantity","list_price","discount","id"
1,20,1,599.99,0.2,1
1,8,2,1799.99,0.07,2
1,10,2,1549,0.05,3
1,16,2,599.99,0.05,4
1,4,1,2899.99,0.2,5
2,20,1,599.99,0.07,6
2,16,2,599.99,0.05,7
3,3,1,999.99,0.05,8
3,20,1,599.99,0.05,9
4,2,2,749.99,0.1,10
5,10,2,1549,0.05,11
5,17,1,429,0.07,12
5,26,1,599.99,0.07,13
6,18,1,449,0.07,14
6,12,2,549.99,0.05,15
6,20,1,599.99,0.1,16
6,3,2,999.99,0.07,17
6,9,2,2999.99,0.07,18
7,15,1,529.99,0.07,19
7,3,1,999.99,0.1,20
7,17,2,429,0.1,21
8,22,1,269.99,0.05,22
8,20,2,599.99,0.07,23
9,7,2,3999.99,0.1,24
10,14,1,269.99,0.1,25
11,8,1,1799.99,0.05,26
11,22,2,269.99,0.1,27
11,16,2,599.99,0.2,28
12,4,2,2899.99,0.1,29
12,11,1,1680.99,0.05,30
13,13,1,269.99,0.1,31
13,17,2,429,0.05,32
13,20,2,599.99,0.1,33
13,16,2,599.99,0.05,34
14,6,1,469.99,0.07,35
15,12,2,549.99,0.07,36
15,8,1,1799.99,0.07,37
15,18,2,449,0.05,38
15,23,2,299.99,0.2,39
16,8,1,1799.99,0.2,40
16,21,1,269.99,0.05,41
16,13,2,269.99,0.07,42
16,14,1,269.99,0.07,43
17,8,1,1799.99,0.07,44
17,23,1,299.99,0.1,45
17,5,1,1320.99,0.1,46
17,20,2,599.99,0.2,47
18,2,2,749.99,0.2,48
18,22,1,269.99,0.05,49
18,7,1,3999.99,0.1,50
18,25,2,499.99,0.05,51
18,9,2,2999.99,0.1,52
19,10,1,1549,0.07,53
19,9,2,2999.99,0.2,54
20,9,1,2999.99,0.07,55
20,10,2,1549,0.07,56
21,14,1,269.99,0.05,57
21,17,1,429,0.1,58
21,10,1,1549,0.07,59
22,15,2,529.99,0.2,60
22,22,1,269.99,0.05,61
23,4,2,2899.99,0.05,62
23,23,2,299.99,0.1,63
23,13,1,269.99,0.2,64
24,3,2,999.99,0.1,65
24,18,2,449,0.07,66
